id,год,месяц,день,погодное условие,направление ветра,скорость ветра (м/с),давление (мм рт. ст.),влажность (%),видимость (мм),луна,осадки (мм),температура днем,температура ночью,url
154,2017,11,14,ясно,северо-восточный,1,782,84,10.0,убывающая,0.0,-23,-27,https://pogoda1.ru/samburg/14-11-2017/
155,2017,11,15,ясно,юго-восточный,4,780,66,10.0,убывающая,0.0,-28,-27,https://pogoda1.ru/samburg/15-11-2017/
156,2017,11,16,снег,юго-восточный,6,768,87,10.0,убывающая,2.6,-19,-16,https://pogoda1.ru/samburg/16-11-2017/
157,2017,11,17,снег,юго-восточный,2,767,89,10.0,убывающая,0.2,-7,-9,https://pogoda1.ru/samburg/17-11-2017/
158,2017,11,18,снег,восточный,4,768,90,10.0,новолуние,0.1,-12,-13,https://pogoda1.ru/samburg/18-11-2017/
159,2017,11,19,ясно,северо-западный,3,769,81,10.0,растущая,0.0,-17,-17,https://pogoda1.ru/samburg/19-11-2017/
160,2017,11,20,снег,юго-восточный,2,772,88,10.0,растущая,0.1,-20,-19,https://pogoda1.ru/samburg/20-11-2017/
161,2017,11,21,снег,восточный,4,771,89,10.0,растущая,0.5,-13,-12,https://pogoda1.ru/samburg/21-11-2017/
162,2017,11,22,снег,восточный,4,776,89,10.0,растущая,0.1,-13,-13,https://pogoda1.ru/samburg/22-11-2017/
163,2017,11,23,снег,восточный,4,775,87,10.0,растущая,0.5,-13,-14,https://pogoda1.ru/samburg/23-11-2017/
164,2017,11,24,снег,восточный,8,762,89,10.0,растущая,5.4,-14,-11,https://pogoda1.ru/samburg/24-11-2017/
165,2017,11,25,снег,северо-западный,9,759,77,10.0,растущая,0.9,-13,-13,https://pogoda1.ru/samburg/25-11-2017/
166,2017,11,26,ясно,западный,2,779,79,10.0,растущая,0.0,-27,-29,https://pogoda1.ru/samburg/26-11-2017/
167,2017,11,27,снег,юго-западный,4,771,86,10.0,растущая,0.5,-16,-12,https://pogoda1.ru/samburg/27-11-2017/
168,2017,11,28,облачно,западный,5,771,88,10.0,растущая,1.3,-7,-4,https://pogoda1.ru/samburg/28-11-2017/
169,2017,11,29,снег,южный,6,773,89,10.0,растущая,0.1,-7,-10,https://pogoda1.ru/samburg/29-11-2017/
170,2017,11,30,снег,западный,3,779,91,10.0,растущая,0.2,-5,-6,https://pogoda1.ru/samburg/30-11-2017/
171,2017,12,1,снег,юго-западный,3,781,92,10.0,растущая,0.2,-6,-7,https://pogoda1.ru/samburg/01-12-2017/
172,2017,12,2,снег,юго-западный,4,776,91,10.0,растущая,1.3,-8,-8,https://pogoda1.ru/samburg/02-12-2017/
173,2017,12,3,снег,южный,7,763,85,10.0,полнолуние,0.2,-9,-7,https://pogoda1.ru/samburg/03-12-2017/
174,2017,12,4,снег,юго-западный,6,764,92,10.0,убывающая,0.6,-3,-2,https://pogoda1.ru/samburg/04-12-2017/
175,2017,12,5,ясно,юго-западный,6,768,89,10.0,убывающая,0.2,-4,-4,https://pogoda1.ru/samburg/05-12-2017/
176,2017,12,6,снег,юго-западный,7,762,92,10.0,убывающая,3.7,-3,-1,https://pogoda1.ru/samburg/06-12-2017/
177,2017,12,7,снег,юго-западный,4,772,93,10.0,убывающая,0.1,-3,-3,https://pogoda1.ru/samburg/07-12-2017/
178,2017,12,8,пасмурно,южный,4,773,89,10.0,убывающая,1.2,-6,-5,https://pogoda1.ru/samburg/08-12-2017/
179,2017,12,9,пасмурно,южный,4,774,87,10.0,убывающая,0.0,-9,-9,https://pogoda1.ru/samburg/09-12-2017/
180,2017,12,10,ясно,южный,4,770,85,10.0,убывающая,0.0,-13,-15,https://pogoda1.ru/samburg/10-12-2017/
181,2017,12,11,ясно,западный,3,777,75,10.0,убывающая,0.1,-13,-11,https://pogoda1.ru/samburg/11-12-2017/
182,2017,12,12,снег,западный,4,777,86,10.0,убывающая,0.2,-15,-15,https://pogoda1.ru/samburg/12-12-2017/
183,2017,12,13,снег,юго-западный,4,779,79,10.0,убывающая,0.1,-18,-16,https://pogoda1.ru/samburg/13-12-2017/
184,2017,12,14,снег,южный,7,775,86,10.0,убывающая,0.1,-20,-16,https://pogoda1.ru/samburg/14-12-2017/
185,2017,12,15,снег,юго-западный,6,774,88,10.0,убывающая,0.2,-8,-7,https://pogoda1.ru/samburg/15-12-2017/
186,2017,12,16,ясно,юго-западный,2,774,91,10.0,убывающая,0.3,-6,-6,https://pogoda1.ru/samburg/16-12-2017/
187,2017,12,17,снег,юго-западный,5,774,95,10.0,убывающая,0.4,-5,-5,https://pogoda1.ru/samburg/17-12-2017/
188,2017,12,18,снег,юго-западный,7,769,88,10.0,новолуние,2.5,-6,-5,https://pogoda1.ru/samburg/18-12-2017/
189,2017,12,19,снег,западный,8,768,90,10.0,растущая,0.3,-2,-1,https://pogoda1.ru/samburg/19-12-2017/
190,2017,12,20,снег,западный,4,768,90,10.0,растущая,0.1,-10,-8,https://pogoda1.ru/samburg/20-12-2017/
191,2017,12,21,снег,юго-западный,2,770,89,10.0,растущая,0.2,-10,-10,https://pogoda1.ru/samburg/21-12-2017/
192,2017,12,22,снег,юго-западный,4,768,86,10.0,растущая,0.3,-9,-7,https://pogoda1.ru/samburg/22-12-2017/
193,2017,12,23,снег,юго-западный,4,768,91,10.0,растущая,0.1,-7,-7,https://pogoda1.ru/samburg/23-12-2017/
194,2017,12,24,снег,юго-восточный,7,761,86,10.0,растущая,0.1,-8,-8,https://pogoda1.ru/samburg/24-12-2017/
195,2017,12,25,ясно,юго-восточный,2,761,81,10.0,растущая,0.0,-12,-14,https://pogoda1.ru/samburg/25-12-2017/
196,2017,12,26,снег,северо-западный,4,750,86,10.0,растущая,0.5,-11,-11,https://pogoda1.ru/samburg/26-12-2017/
197,2017,12,27,ясно,юго-западный,2,760,78,10.0,растущая,0.1,-18,-18,https://pogoda1.ru/samburg/27-12-2017/
198,2017,12,28,ясно,юго-восточный,3,768,68,10.0,растущая,0.1,-22,-21,https://pogoda1.ru/samburg/28-12-2017/
199,2017,12,29,снег,юго-восточный,3,771,68,10.0,растущая,0.1,-20,-20,https://pogoda1.ru/samburg/29-12-2017/
200,2017,12,30,снег,южный,3,778,63,10.0,растущая,0.1,-23,-22,https://pogoda1.ru/samburg/30-12-2017/
201,2017,12,31,снег,юго-западный,5,775,85,10.0,растущая,0.9,-15,-10,https://pogoda1.ru/samburg/31-12-2017/
202,2018,1,1,снег,юго-западный,6,777,91,10.0,растущая,0.3,-8,-6,https://pogoda1.ru/samburg/01-01-2018/
203,2018,1,2,снег,южный,8,776,87,10.0,полнолуние,0.0,-9,-5,https://pogoda1.ru/samburg/02-01-2018/
204,2018,1,3,пасмурно,южный,7,774,82,10.0,убывающая,0.6,-9,-10,https://pogoda1.ru/samburg/03-01-2018/
205,2018,1,4,снег,юго-западный,7,773,89,10.0,убывающая,0.3,-9,-8,https://pogoda1.ru/samburg/04-01-2018/
206,2018,1,5,снег,юго-западный,4,770,90,10.0,убывающая,1.6,-9,-9,https://pogoda1.ru/samburg/05-01-2018/
207,2018,1,6,снег,юго-западный,4,769,94,10.0,убывающая,0.6,-5,-4,https://pogoda1.ru/samburg/06-01-2018/
208,2018,1,7,снег,юго-западный,3,771,93,10.0,убывающая,0.5,-4,-4,https://pogoda1.ru/samburg/07-01-2018/
209,2018,1,8,пасмурно,южный,5,768,80,10.0,убывающая,0.0,-16,-12,https://pogoda1.ru/samburg/08-01-2018/
